Document ID,Document Name,Version,Approval Date,Approved By,Review Date,Next Review,Distribution List,Acknowledgment Count,Control Reference
POL-001,Information Security Policy,2.1,2024-01-15,John Smith - CISO,2024-07-15,2025-01-15,"All Employees, Contractors, Third Parties",847,5.1
POL-002,Access Control Policy,1.8,2024-02-01,John Smith - CISO,2024-08-01,2025-02-01,"IT Staff, Security Team, Management",234,5.15
POL-003,Incident Response Policy,1.5,2024-01-30,Sarah Johnson - IT Director,2024-07-30,2025-01-30,"Security Team, IT Staff, Management",156,5.24
POL-004,Asset Management Policy,2.0,2024-03-10,John Smith - CISO,2024-09-10,2025-03-10,"All Employees, Asset Owners",623,5.9
POL-005,Supplier Security Policy,1.3,2024-02-20,Michael Brown - Procurement Manager,2024-08-20,2025-02-20,"Procurement, Legal, Security Team",89,5.19
POL-006,Data Classification Policy,1.7,2024-01-25,John Smith - CISO,2024-07-25,2025-01-25,"All Employees, Data Owners",756,5.12
POL-007,Business Continuity Policy,1.4,2024-03-05,David Wilson - Operations Manager,2024-09-05,2025-03-05,"Management, Key Personnel",178,5.29
POL-008,Privacy and Data Protection Policy,2.2,2024-01-10,Lisa Chen - Privacy Officer,2024-07-10,2025-01-10,"All Employees, Data Processors",689,5.34
POL-009,Acceptable Use Policy,1.9,2024-02-15,John Smith - CISO,2024-08-15,2025-02-15,"All Employees, Contractors",834,5.10
POL-010,Change Management Policy,1.6,2024-03-01,Robert Taylor - IT Manager,2024-09-01,2025-03-01,"IT Staff, Change Approvers",145,5.37
